epoch,accuracy,loss
0,0.21739129722118378,3.0928187370300293
1,0.35652172565460205,2.247023582458496
2,0.49130433797836304,1.4861706495285034
3,0.6217391490936279,1.1266635656356812
4,0.752173900604248,0.8419310450553894
5,0.804347813129425,0.7125355005264282
6,0.856521725654602,0.6352550983428955
7,0.856521725654602,0.6180801391601562
8,0.8913043737411499,0.5575771331787109
9,0.908695638179779,0.5159549713134766
10,0.908695638179779,0.44920670986175537
11,0.9130434989929199,0.40409380197525024
12,0.9434782862663269,0.38540220260620117
13,0.926086962223053,0.3773857355117798
14,0.95652174949646,0.3242693841457367
15,0.947826087474823,0.31040284037590027
16,0.95652174949646,0.2688693106174469
17,0.969565212726593,0.2674052119255066
18,0.947826087474823,0.2702990472316742
19,0.9434782862663269,0.2514910101890564
20,0.97826087474823,0.21748949587345123
21,0.960869550704956,0.23310519754886627
22,0.97826087474823,0.18965406715869904
23,0.9652174115180969,0.21707603335380554
24,0.9304347634315491,0.23570719361305237
25,0.991304337978363,0.16145682334899902
26,0.991304337978363,0.18871775269508362
27,0.960869550704956,0.17843908071517944
28,0.9869565367698669,0.15740106999874115
29,0.9826086759567261,0.16645607352256775
30,0.9826086759567261,0.13977232575416565
31,0.9956521987915039,0.1290534883737564
32,0.9739130139350891,0.15510743856430054
33,0.9956521987915039,0.1102633997797966
34,0.9826086759567261,0.13139784336090088
35,0.9826086759567261,0.11274316161870956
36,0.991304337978363,0.09786994010210037
37,0.9956521987915039,0.08963067084550858
38,0.9826086759567261,0.12557949125766754
39,0.9826086759567261,0.13015398383140564
40,1.0,0.07807326316833496
41,0.991304337978363,0.07949793338775635
42,0.9956521987915039,0.09536198526620865
43,1.0,0.08144116401672363
44,1.0,0.07160734385251999
45,0.9869565367698669,0.08361764252185822
46,1.0,0.06843419373035431
47,0.991304337978363,0.0821722149848938
48,0.9956521987915039,0.07031501829624176
49,1.0,0.06611651182174683
50,0.9956521987915039,0.05853207781910896
51,0.991304337978363,0.0632162094116211
52,0.9956521987915039,0.05930600315332413
53,0.9956521987915039,0.06280738115310669
54,0.991304337978363,0.07576852291822433
55,1.0,0.045636579394340515
56,0.9956521987915039,0.051572948694229126
57,0.9956521987915039,0.05910337716341019
58,1.0,0.04454585537314415
59,0.9956521987915039,0.06125549599528313
60,1.0,0.05693574622273445
61,1.0,0.043093241751194
62,0.9956521987915039,0.0656481608748436
63,1.0,0.04550941288471222
64,1.0,0.03404742479324341
65,1.0,0.03673005849123001
66,1.0,0.0396651066839695
67,1.0,0.03994214907288551
68,1.0,0.042857903987169266
69,0.9869565367698669,0.048682861030101776
70,0.9956521987915039,0.04279487207531929
71,1.0,0.03278684243559837
72,0.9956521987915039,0.040625330060720444
73,0.9956521987915039,0.03960467502474785
74,0.9956521987915039,0.027463173493742943
75,0.9956521987915039,0.03869131579995155
76,1.0,0.030072305351495743
77,0.9956521987915039,0.03615477308630943
78,1.0,0.02754374034702778
79,0.9956521987915039,0.03250407427549362
80,1.0,0.03006535768508911
81,1.0,0.02276822365820408
82,1.0,0.027391761541366577
83,0.9956521987915039,0.03305216133594513
84,0.9956521987915039,0.033856235444545746
85,1.0,0.01960396021604538
86,1.0,0.02606174349784851
87,1.0,0.017826024442911148
88,1.0,0.023409269750118256
89,1.0,0.021680187433958054
90,1.0,0.020530428737401962
91,1.0,0.01889076828956604
92,1.0,0.023441633209586143
93,1.0,0.02594708651304245
94,1.0,0.017373615875840187
95,1.0,0.02057529054582119
96,1.0,0.018965110182762146
97,0.991304337978363,0.025848429650068283
98,1.0,0.021475257351994514
99,1.0,0.01467973180115223
100,1.0,0.019954999908804893
101,0.991304337978363,0.03629571944475174
102,1.0,0.025207558646798134
103,1.0,0.02277139388024807
104,1.0,0.0209063608199358
105,1.0,0.018811801448464394
106,1.0,0.01572040654718876
107,1.0,0.012915891595184803
108,1.0,0.01978219486773014
109,1.0,0.01617552898824215
110,1.0,0.014795668423175812
111,1.0,0.01654602400958538
112,1.0,0.015906956046819687
113,1.0,0.013062908314168453
114,1.0,0.01865343376994133
115,1.0,0.015161393210291862
116,1.0,0.012125096283853054
117,1.0,0.017305025830864906
118,1.0,0.014953377656638622
119,1.0,0.014706449583172798
120,1.0,0.011900147423148155
121,1.0,0.01679828390479088
122,1.0,0.013640879653394222
123,0.991304337978363,0.03450397402048111
124,1.0,0.012953259982168674
125,1.0,0.012929759919643402
126,1.0,0.014977953396737576
127,1.0,0.011858785524964333
128,0.9956521987915039,0.018752623349428177
129,1.0,0.015234469436109066
130,1.0,0.013991469517350197
131,0.9956521987915039,0.018790729343891144
132,1.0,0.010888870805501938
133,1.0,0.010822252370417118
134,1.0,0.010681155137717724
135,1.0,0.011080640368163586
136,1.0,0.009100113064050674
137,1.0,0.014474463649094105
138,1.0,0.01111982949078083
139,1.0,0.011815765872597694
140,1.0,0.017991255968809128
141,1.0,0.011096675880253315
142,1.0,0.010916185565292835
143,1.0,0.010190737433731556
144,1.0,0.00785282626748085
145,1.0,0.009398828260600567
146,1.0,0.007543359417468309
147,0.9956521987915039,0.013147208839654922
148,1.0,0.009249216876924038
149,1.0,0.01042843610048294
150,1.0,0.011161638423800468
151,1.0,0.010555588640272617
152,1.0,0.009125298820436
153,1.0,0.008676069788634777
154,1.0,0.009332590736448765
155,1.0,0.02010505087673664
156,1.0,0.007649477105587721
157,1.0,0.006553567014634609
158,1.0,0.00757240504026413
159,1.0,0.00664424616843462
160,1.0,0.0063172304071486
161,1.0,0.012298984453082085
162,1.0,0.008261527866125107
163,1.0,0.007196696940809488
164,1.0,0.006949101109057665
165,1.0,0.006532995030283928
166,1.0,0.00657082162797451
167,1.0,0.005971051752567291
168,1.0,0.005786349531263113
169,1.0,0.006170641165226698
170,1.0,0.00839173048734665
171,1.0,0.006852746941149235
172,1.0,0.005591745488345623
173,1.0,0.007973057217895985
174,1.0,0.010760672390460968
175,1.0,0.00974210724234581
176,1.0,0.005880880169570446
177,1.0,0.008143046870827675
178,1.0,0.009957692585885525
179,1.0,0.010223079472780228
180,1.0,0.005252448376268148
181,1.0,0.005918104667216539
182,1.0,0.00637789024040103
183,1.0,0.009386573918163776
184,1.0,0.006419844925403595
185,1.0,0.005626435857266188
186,1.0,0.0062283920124173164
187,0.9956521987915039,0.0121464179828763
188,1.0,0.00852852314710617
189,1.0,0.007963266223669052
190,1.0,0.004414567723870277
191,0.9956521987915039,0.009124924428761005
192,1.0,0.0051632169634103775
193,1.0,0.005493809934705496
194,1.0,0.0050400118343532085
195,1.0,0.004917551297694445
196,1.0,0.005089672282338142
197,1.0,0.004000063054263592
198,1.0,0.005305860657244921
199,1.0,0.006090526469051838
