epoch,accuracy,loss
0,0.21739129722118378,2.8606889247894287
1,0.33043476939201355,2.204378366470337
2,0.530434787273407,1.4696565866470337
3,0.7260869741439819,1.0047483444213867
4,0.7347826361656189,0.8664910197257996
5,0.834782600402832,0.711179792881012
6,0.8173912763595581,0.6860001087188721
7,0.856521725654602,0.6061452627182007
8,0.8999999761581421,0.5301510691642761
9,0.886956512928009,0.4907538592815399
10,0.9217391014099121,0.45787468552589417
11,0.9217391014099121,0.405519962310791
12,0.926086962223053,0.3844950795173645
13,0.9304347634315491,0.3389459252357483
14,0.9652174115180969,0.3065780699253082
15,0.960869550704956,0.3159218728542328
16,0.9652174115180969,0.27111658453941345
17,0.9434782862663269,0.2883470058441162
18,0.947826087474823,0.29987281560897827
19,0.9739130139350891,0.24920281767845154
20,0.969565212726593,0.21972902119159698
21,0.97826087474823,0.22944049537181854
22,0.969565212726593,0.1978064477443695
23,0.9739130139350891,0.1744760423898697
24,0.960869550704956,0.21424619853496552
25,0.97826087474823,0.16282151639461517
26,0.9739130139350891,0.20001709461212158
27,0.97826087474823,0.16919907927513123
28,0.9739130139350891,0.1628575176000595
29,0.9739130139350891,0.1490221470594406
30,0.9826086759567261,0.14387451112270355
31,0.991304337978363,0.12261663377285004
32,0.9869565367698669,0.13097620010375977
33,0.9869565367698669,0.10876282304525375
34,0.991304337978363,0.13395985960960388
35,0.9869565367698669,0.12454045563936234
36,0.991304337978363,0.104690782725811
37,0.991304337978363,0.10883349180221558
38,0.991304337978363,0.10287318378686905
39,0.9956521987915039,0.09123709797859192
40,0.9956521987915039,0.09179311245679855
41,1.0,0.07298281043767929
42,0.991304337978363,0.08207763731479645
43,1.0,0.0757560059428215
44,0.991304337978363,0.087677501142025
45,0.9956521987915039,0.07440359145402908
46,0.991304337978363,0.08443903923034668
47,0.9956521987915039,0.070009246468544
48,0.9956521987915039,0.08162767440080643
49,1.0,0.074111208319664
50,0.9956521987915039,0.06716468930244446
51,0.97826087474823,0.13212795555591583
52,1.0,0.06006188690662384
53,1.0,0.0705355703830719
54,1.0,0.06670206785202026
55,0.9956521987915039,0.07064024358987808
56,1.0,0.046764615923166275
57,1.0,0.04584968090057373
58,0.9956521987915039,0.057161059230566025
59,1.0,0.04288283362984657
60,1.0,0.04272353649139404
61,1.0,0.050078053027391434
62,0.991304337978363,0.03923867642879486
63,1.0,0.049899619072675705
64,0.9826086759567261,0.07818238437175751
65,0.991304337978363,0.049425043165683746
66,1.0,0.0486888661980629
67,1.0,0.033466141670942307
68,1.0,0.03619978576898575
69,1.0,0.038031481206417084
70,0.991304337978363,0.05247046425938606
71,1.0,0.03162035718560219
