class,precision,recall,f1-score,support
austrotephritis,1,1,1,12
bactrocera,0.96,1,0.98,22
ceratitis,1,1,1,5
dacus,1,0.9,0.95,10
procecidochares,1,1,1,7
sphenella,1,1,1,4
trupanea,1,1,1,159
urophora,1,1,1,10
accuracy,NA,NA,0.99,229
macro avg,0.99,0.99,0.99,229
weighted avg,1,1,1,229
